,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist_Pass,PrgDist_Pass,Cmp_Shrt,Att_Shrt,Cmp%_Shrt,Cmp_Med,Att_Med,Cmp%_Med,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3_Pass,PPA,CrsPA,PrgP,Live_Pass,Dead,FK_Pass,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd_Tkls,Mid 3rd_Tkls,Att 3rd_Tkls,Tkl_Chl,Att_Chl,Tkl%,Lost,Blocks_Def,Blocks_Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_Tch,Mid 3rd_Tch,Att 3rd_Tch,Att Pen,Live_Tch,Att_TakeOns,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_Carr,PrgDist_Carr,PrgC,1/3_Carr,CPA,Mis,Dis,Rec,PrgR,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,CrdY,CrdR,2CrdY,Fls,Fld,Offsd,PKwon,PKcon,OG,Recov,Won_AD,Lost_AD,Won%
20,Eric Bailly,ci CIV,DF,27.0,5.4,0.0,3.0,1.0,33.3,0.55,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,198.0,84.3,3066.0,1251.0,65.0,72.0,90.3,88.0,97.0,90.7,14.0,28.0,50.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,11.0,190.0,8.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,0.0,1.0,4.0,6.0,66.7,2.0,10.0,6.0,4.0,8.0,16.0,18.0,0.0,249.0,47.0,145.0,102.0,3.0,0.0,249.0,2.0,1.0,50.0,1.0,50.0,132.0,740.0,346.0,2.0,0.0,0.0,3.0,2.0,147.0,0.0,7,487.0,70.0,11.5,6,78.0,4,1,17.0,23,1.29,8.0,8.0,0.0,0.0,-0.02,7.8,7.6,0.1,0.03,-0.01,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,21.0,8.0,4.0,66.7
21,Juan Mata,es ESP,MF,33.0,4.6,0.0,9.0,3.0,33.3,1.96,0.65,0.0,0.0,17.0,1.0,0.0,0.0,0.8,0.8,0.11,-0.8,-0.8,235.0,273.0,86.1,3351.0,813.0,149.0,158.0,94.3,53.0,66.0,80.3,19.0,26.0,73.1,0.0,0.3,0.5,-0.3,3.0,20.0,7.0,2.0,22.0,263.0,8.0,4.0,2.0,3.0,13.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,10.0,2.72,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,3.0,5.0,1.0,5.0,7.0,71.4,2.0,2.0,0.0,2.0,1.0,10.0,1.0,0.0,314.0,1.0,53.0,164.0,99.0,8.0,314.0,8.0,4.0,50.0,4.0,50.0,203.0,1063.0,467.0,10.0,8.0,0.0,8.0,2.0,243.0,13.0,12,413.0,34.0,9.3,4,73.0,0,8,15.0,28,1.0,5.0,6.0,-1.0,-0.22,-0.28,4.6,4.5,0.1,0.02,-0.02,0.0,0.0,0.0,2.0,9.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0
22,Donny van de Beek,nl NED,MF,24.0,4.3,1.0,5.0,2.0,40.0,1.16,0.46,0.2,0.5,9.4,0.0,0.0,0.0,0.5,0.5,0.18,0.5,0.5,128.0,153.0,83.7,1920.0,597.0,79.0,88.0,89.8,31.0,35.0,88.6,12.0,13.0,92.3,0.0,0.4,0.2,-0.4,3.0,6.0,3.0,0.0,8.0,150.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,2.26,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.32,1.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,10.0,3.0,1.0,3.0,6.0,50.0,3.0,9.0,3.0,6.0,8.0,21.0,3.0,1.0,203.0,11.0,71.0,103.0,32.0,6.0,203.0,9.0,4.0,44.4,5.0,55.6,117.0,442.0,176.0,1.0,4.0,0.0,4.0,6.0,133.0,9.0,14,388.0,28.0,8.7,4,73.0,2,10,10.0,16,1.57,5.0,4.0,1.0,0.23,0.21,3.5,4.0,-0.5,-0.15,-0.2,1.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,20.0,2.0,3.0,40.0
23,Anthony Martial,fr FRA,FW,25.0,4.1,1.0,8.0,3.0,37.5,1.95,0.73,0.13,0.33,13.0,0.0,0.0,0.0,0.7,0.7,0.13,0.3,0.3,94.0,117.0,80.3,1271.0,241.0,64.0,73.0,87.7,29.0,34.0,85.3,0.0,3.0,0.0,0.0,0.0,0.4,0.0,0.0,8.0,5.0,0.0,16.0,115.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.26,4.0,0.0,1.0,0.0,2.0,0.0,1.0,0.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,150.0,2.0,14.0,63.0,75.0,15.0,150.0,11.0,6.0,54.5,5.0,45.5,102.0,621.0,365.0,14.0,6.0,5.0,9.0,4.0,134.0,35.0,11,369.0,34.0,8.7,4,67.0,1,7,14.0,7,1.82,6.0,5.0,1.0,0.24,0.24,4.8,3.0,1.8,0.59,0.6,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,7.0,4.0,5.0,44.4
24,Dean Henderson,eng ENG,GK,24.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,29.0,65.5,400.0,263.0,2.0,2.0,100.0,16.0,16.0,100.0,1.0,11.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,29.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,21.0,145.0,89.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3,277.0,92.0,6.2,3,92.0,2,0,0.0,36,0.67,2.0,3.0,-1.0,-0.32,-0.69,1.2,1.1,0.1,0.14,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
25,Phil Jones,eng ENG,"DF,MF",29.0,2.1,0.0,1.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,81.0,87.7,1169.0,448.0,33.0,36.0,91.7,36.0,37.0,97.3,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,66.7,1.0,4.0,4.0,0.0,3.0,8.0,8.0,0.0,101.0,17.0,48.0,50.0,4.0,0.0,101.0,1.0,1.0,100.0,0.0,0.0,58.0,214.0,103.0,1.0,0.0,0.0,1.0,0.0,63.0,0.0,5,193.0,39.0,4.3,2,68.0,1,3,19.0,23,1.0,0.0,3.0,-3.0,-1.4,-1.5,1.1,2.3,-1.2,-0.68,-0.8,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,100.0
26,Daniel James,wls WAL,FW,23.0,1.4,0.0,4.0,1.0,25.0,2.86,0.71,0.0,0.0,15.7,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,20.0,34.0,58.8,193.0,40.0,15.0,19.0,78.9,2.0,5.0,40.0,0.0,1.0,0.0,0.0,0.3,0.0,-0.3,2.0,1.0,0.0,0.0,3.0,34.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.14,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,52.0,1.0,2.0,20.0,30.0,8.0,52.0,1.0,0.0,0.0,1.0,100.0,26.0,214.0,97.0,5.0,2.0,1.0,4.0,3.0,34.0,16.0,2,126.0,63.0,3.7,2,63.0,0,0,0.0,1,3.0,5.0,1.0,4.0,2.86,2.97,1.9,1.3,0.7,0.48,0.42,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
27,Hannibal Mejbri,tn TUN,MF,18.0,0.8,0.0,1.0,1.0,100.0,1.32,1.32,0.0,0.0,22.9,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,17.0,21.0,81.0,180.0,9.0,12.0,13.0,92.3,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,6.0,13.0,14.0,0.0,32.0,2.0,1.0,50.0,1.0,50.0,18.0,111.0,28.0,0.0,2.0,0.0,1.0,1.0,23.0,4.0,2,68.0,34.0,1.6,1,61.0,0,1,7.0,7,0.0,0.0,2.0,-2.0,-2.65,-2.7,0.5,1.0,-0.5,-0.65,-0.74,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
28,Amad Diallo,ci CIV,MF,19.0,0.7,0.0,2.0,1.0,50.0,2.69,1.34,0.0,0.0,17.8,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,17.0,22.0,77.3,265.0,55.0,12.0,14.0,85.7,3.0,4.0,75.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,36.0,2.0,6.0,18.0,13.0,2.0,36.0,3.0,1.0,33.3,2.0,66.7,26.0,179.0,98.0,4.0,2.0,1.0,2.0,1.0,23.0,3.0,1,67.0,67.0,1.5,1,67.0,0,0,0.0,3,1.0,1.0,1.0,0.0,0.0,-0.28,1.2,1.1,0.1,0.14,0.32,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
29,Shola Shoretire,eng ENG,MF,17.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0,86.7,175.0,19.0,7.0,8.0,87.5,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,2.0,5.0,11.0,4.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,15.0,45.0,6.0,0.0,0.0,0.0,2.0,0.0,15.0,4.0,2,39.0,20.0,0.9,0,0.0,0,2,20.0,1,0.5,0.0,0.0,0.0,0.0,-0.04,0.1,0.2,-0.1,-0.34,-0.38,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
30,Teden Mengi,eng ENG,DF,19.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,73.9,191.0,47.0,10.0,14.0,71.4,5.0,5.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,28.0,5.0,14.0,12.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,15.0,43.0,11.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1,30.0,30.0,4.2,0,0.0,0,1,30.0,0,1.0,0.0,0.0,0.0,0.0,-0.26,0.0,0.7,-0.7,-2.11,-2.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
31,Tom Heaton,eng ENG,GK,35.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,63.6,177.0,148.0,0.0,0.0,0.0,6.0,6.0,100.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,23.0,23.0,0.5,0,0.0,0,1,23.0,22,1.0,0.0,0.0,0.0,0.0,-0.26,0.0,0.2,-0.2,-0.93,-0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Alejandro Garnacho,es ESP,"FW,MF",17.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,22.0,1.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2,13.0,7.0,0.4,0,0.0,0,2,7.0,5,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.26,1.19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Charlie Savage,wls WAL,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,22.0,7.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.0,2.0,0.0,0,0.0,0,1,2.0,1,1.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
34,Zidane Iqbal,iq IRQ,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,58.0,25.0,1.0,1.0,100.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,4.0,1.0,1.0,100.0,0.0,0.0,3.0,26.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1,2.0,2.0,0.3,0,0.0,0,1,2.0,0,1.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
